FID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
2733,306699,UNKNOWN306699,MASON,TX,76856,SUBSTATION,IN SERVICE,MASON,30.748157,-99.185306,3,138,69,N,N
2734,306700,UNKNOWN306700,CASHION COMMUNITY,TX,76305,SUBSTATION,IN SERVICE,WICHITA,33.997864,-98.55385,1,138,69,N,N
4287,306704,UNKNOWN306704,CRAWFORD,TX,76638,NOT AVAILABLE,NOT AVAILABLE,MCLENNAN,31.500823,-97.416384,3,345,-999999,Y,N
5171,306708,UNKNOWN306708,EAGLE LAKE,TX,77434,SUBSTATION,IN SERVICE,COLORADO,29.571949,-96.384097,1,138,138,N,Y
2736,306712,UNKNOWN306712,BRENHAM,TX,77833,SUBSTATION,IN SERVICE,WASHINGTON,30.150608,-96.394541,2,138,69,N,N
3961,310043,LYTLE,NATALIA,TX,78052,SUBSTATION,IN SERVICE,MEDINA,29.21667,-98.844703,3,69,-999999,Y,N
2739,306724,UNKNOWN306724,LAREDO,TX,78045,SUBSTATION,IN SERVICE,WEBB,27.692184,-99.477493,1,138,69,N,N
2740,306727,UNKNOWN306727,NORTH PEARSALL,TX,78061,SUBSTATION,IN SERVICE,FRIO,28.9313,-99.091733,1,138,69,Y,Y
2743,306738,UNKNOWN306738,HENDERSON,TX,75652,SUBSTATION,IN SERVICE,RUSK,32.204886,-94.800953,4,138,69,N,N
3170,306755,UNKNOWN306755,LAREDO,TX,78046,SUBSTATION,IN SERVICE,WEBB,27.438015,-99.448294,1,138,138,N,Y
2751,306757,UNKNOWN306757,HEARNE,TX,77859,SUBSTATION,IN SERVICE,ROBERTSON,30.951342,-96.57593,2,138,69,N,N
3491,306759,UNKNOWN306759,SOUTHLAKE,TX,76092,SUBSTATION,IN SERVICE,TARRANT,32.948713,-97.117941,2,138,138,Y,Y
2754,306764,UNKNOWN306764,BOLING,TX,77420,SUBSTATION,IN SERVICE,WHARTON,29.263795,-95.900518,3,138,69,N,N
2755,306765,UNKNOWN306765,CHANNELVIEW,TX,77530,SUBSTATION,IN SERVICE,HARRIS,29.815035,-95.10925,8,138,69,N,N
2757,306772,UNKNOWN306772,FORT WORTH,TX,76137,SUBSTATION,IN SERVICE,TARRANT,32.875692,-97.307852,2,138,69,N,N
4283,306774,UNKNOWN306774,LUFKIN,TX,75901,SUBSTATION,IN SERVICE,ANGELINA,31.285737,-94.689092,2,138,-999999,Y,N
3281,306776,UNKNOWN306776,BROWNSVILLE,TX,78521,SUBSTATION,IN SERVICE,CAMERON,25.95089,-97.492111,2,138,138,N,Y
2763,306791,UNKNOWN306791,WICHITA FALLS,TX,76305,SUBSTATION,IN SERVICE,WICHITA,33.886498,-98.429378,4,345,13.8,N,N
2766,306804,UNKNOWN306804,ABILENE,TX,79601,SUBSTATION,IN SERVICE,TAYLOR,32.434893,-99.639226,2,138,69,N,N
3975,310079,UNKNOWN310079,CROSS PLAINS,TX,76443,SUBSTATION,IN SERVICE,CALLAHAN,32.121847,-99.168711,2,-999999,-999999,N,N
2767,306806,UNKNOWN306806,CENTRAL GARDENS,TX,77627,SUBSTATION,IN SERVICE,JEFFERSON,30.010021,-94.028496,2,138,69,Y,Y
2770,306814,UNKNOWN306814,SOMERVILLE,TX,77879,SUBSTATION,IN SERVICE,BURLESON,30.338581,-96.521796,2,138,69,Y,Y
2775,306824,UNKNOWN306824,MIDLOTHIAN,TX,76065,SUBSTATION,NOT AVAILABLE,ELLIS,32.511504,-96.971849,0,138,-999999,Y,N
2777,306826,UNKNOWN306826,ODESSA,TX,79761,SUBSTATION,IN SERVICE,ECTOR,31.848318,-102.353754,4,138,69,N,N
3424,306829,UNKNOWN306829,FALFURRIAS,TX,78355,SUBSTATION,IN SERVICE,BROOKS,27.242109,-98.141771,4,138,69,N,Y
2778,306830,UNKNOWN306830,CHRISTINE,TX,78026,SUBSTATION,IN SERVICE,ATASCOSA,28.695264,-98.539987,2,138,69,Y,Y
2779,306831,UNKNOWN306831,LOVING,TX,76374,SUBSTATION,IN SERVICE,YOUNG,33.372196,-98.522381,2,138,69,Y,Y
3983,310105,UNKNOWN310105,IOWA PARK,TX,76367,SUBSTATION,IN SERVICE,WICHITA,33.953938,-98.685997,1,-999999,-999999,N,N
3984,310106,UNKNOWN310106,WILLS POINT,TX,75169,NOT AVAILABLE,NOT AVAILABLE,VAN ZANDT,32.793519,-95.986978,3,-999999,-999999,N,N
2780,306832,UNKNOWN306832,ORANGE,TX,77632,SUBSTATION,IN SERVICE,ORANGE,30.164071,-93.88199,2,230,69,N,N
2782,306834,UNKNOWN306834,COLORADO CITY,TX,79512,SUBSTATION,NOT AVAILABLE,MITCHELL,32.392253,-100.841465,1,345,69,Y,Y
3987,310115,AC,BISHOP HILLS,TX,79124,SUBSTATION,IN SERVICE,POTTER,35.206616,-101.940333,2,115,69,N,N
3988,310116,UNKNOWN310116,LUBBOCK,TX,79404,SUBSTATION,IN SERVICE,LUBBOCK,33.55677,-101.799178,3,115,69,N,N
3989,310125,UNKNOWN310125,CALVERT,TX,77837,SUBSTATION,IN SERVICE,ROBERTSON,31.044347,-96.68649,1,-999999,-999999,N,N
3130,306835,UNKNOWN306835,DECATUR,TX,76234,SUBSTATION,IN SERVICE,WISE,33.312624,-97.528699,2,138,138,N,Y
2785,306848,UNKNOWN306848,FORNEY,TX,75126,SUBSTATION,IN SERVICE,KAUFMAN,32.777298,-96.475714,1,138,69,N,N
5044,306849,UNKNOWN306849,ROMA CREEK,TX,78584,SUBSTATION,IN SERVICE,STARR,26.422688,-99.021787,2,138,138,N,Y
2786,306851,UNKNOWN306851,PAMPA,TX,79065,SUBSTATION,NOT AVAILABLE,GRAY,35.549729,-100.955767,1,230,115,Y,Y
3994,310136,ADAIR,SEAGRAVES,TX,79359,SUBSTATION,NOT AVAILABLE,GAINES,32.958231,-102.278988,2,69,13.8,Y,Y
2787,306854,UNKNOWN306854,OVERTON,TX,75684,SUBSTATION,IN SERVICE,RUSK,32.265915,-94.98442,3,138,69,Y,Y
2790,306860,UNKNOWN306860,WOODSON,TX,76491,SUBSTATION,IN SERVICE,YOUNG,33.103261,-98.905757,2,345,69,Y,Y
2791,306861,UNKNOWN306861,ABILENE,TX,79601,SUBSTATION,IN SERVICE,TAYLOR,32.488694,-99.700201,1,138,69,N,N
3459,306865,UNKNOWN306865,BROWNSVILLE,TX,78521,SUBSTATION,IN SERVICE,CAMERON,25.92536,-97.465315,2,138,138,N,Y
2792,306866,UNKNOWN306866,TEXAS CITY,TX,77590,SUBSTATION,IN SERVICE,GALVESTON,29.370594,-94.911284,3,138,69,N,N
4000,310147,CANYON WEST,CANYON,TX,79015,SUBSTATION,IN SERVICE,RANDALL,34.981827,-101.945553,2,115,34.5,N,N
4001,310151,UNKNOWN310151,SEMINOLE,TX,79360,SUBSTATION,IN SERVICE,GAINES,32.697334,-102.752895,2,69,13.8,N,N
4002,310153,UNKNOWN310153,BONHAM,TX,75418,SUBSTATION,IN SERVICE,FANNIN,33.564265,-96.249266,3,69,-999999,Y,N
2794,306876,UNKNOWN306876,SOMERVILLE,TX,77879,SUBSTATION,NOT AVAILABLE,BURLESON,30.536592,-96.449799,0,138,-999999,Y,N
2731,306878,UNKNOWN306878,NORTH COWDEN,TX,79741,SUBSTATION,IN SERVICE,ECTOR,31.994596,-102.549123,1,138,69,N,N
2797,306887,UNKNOWN306887,OLDEN,TX,76470,SUBSTATION,IN SERVICE,EASTLAND,32.469765,-98.754726,1,138,69,N,N
2798,306889,UNKNOWN306889,BAYTOWN,TX,77523,SUBSTATION,IN SERVICE,CHAMBERS,29.750208,-94.903802,2,138,69,Y,Y
4007,310171,UNKNOWN310171,EARTH,TX,79031,SUBSTATION,IN SERVICE,CASTRO,34.31955,-102.427708,3,115,69,N,N
4008,310178,UNKNOWN310178,DIANA,TX,75640,SUBSTATION,IN SERVICE,UPSHUR,32.691617,-94.752928,4,69,13.8,Y,Y
4009,310182,UNKNOWN310182,ELKHART,TX,75839,SUBSTATION,IN SERVICE,ANDERSON,31.617993,-95.488076,3,69,-999999,Y,N
4497,306900,UNKNOWN306900,SALINENO,TX,78584,SUBSTATION,IN SERVICE,STARR,26.522681,-99.019161,3,138,138,N,Y
4011,310187,NORTHWARD,MONAHANS,TX,79756,SUBSTATION,IN SERVICE,WARD,31.637357,-103.072155,2,69,-999999,N,N
2805,306910,UNKNOWN306910,BRADSHAW,TX,79562,SUBSTATION,IN SERVICE,TAYLOR,32.19353,-100.028154,2,138,69,Y,Y
2806,306911,UNKNOWN306911,JEWETT,TX,75846,SUBSTATION,NOT AVAILABLE,LEON,31.376987,-96.206284,0,345,69,Y,Y
